cluster,observation,X,treatment,y
C_0,0,4.72347139765763,1,1
C_0,1,4.531693250553328,0,1
C_0,2,4.531726086101639,1,1
C_0,3,4.061051228130096,0,1
C_0,4,6.085120087171929,0,1
C_1,0,3.8754249415180544,1,0
C_1,1,3.1839518489575775,0,0
C_1,2,2.1753925973294166,0,0
C_1,3,3.9112345509496347,1,0
C_1,4,5.2218451794197325,0,0
C_2,0,4.416612500413446,1,1
C_2,1,4.973005550524132,0,1
C_2,2,2.8845781420882,0,0
C_2,3,5.4177271900095105,1,1
C_2,4,1.0806597522404489,1,0
C_3,0,5.342736562379941,0,1
C_3,1,4.768703435223519,0,1
C_3,2,4.3977926088214225,1,1
C_3,3,5.687236579136923,0,1
C_3,4,1.473919689274532,0,0
C_4,0,6.2233525776817356,0,0
C_4,1,7.061999044991902,1,1
C_4,2,6.862560238232398,0,1
C_4,3,5.662526862807128,0,0
C_4,4,6.951090254244718,0,1
C_5,0,7.712480057141645,1,1
C_5,1,5.723272050095268,1,1
C_5,2,3.7097604907897512,1,1
C_5,3,-0.23949020817948874,0,1
C_5,4,6.643805008750448,0,1
C_6,0,1.0248621707982144,1,1
C_6,1,7.955788089483033,0,1
C_6,2,3.9634595634527052,0,1
C_6,3,6.830804235404148,1,1
C_6,4,5.657502219319369,1,1
C_7,0,4.3446757068044635,0,0
C_7,1,5.592240554129152,0,0
C_7,2,5.522110544359778,0,0
C_7,3,4.314570966946461,1,0
C_7,4,3.395445461556762,1,1
C_8,0,4.851108168467666,1,1
C_8,1,1.162457569401917,0,1
C_8,2,4.946972249101567,1,1
C_8,3,4.615278070437755,0,1
C_8,4,5.603094684667225,1,1
C_9,0,6.503866065373549,0,1
C_9,1,7.805588621872198,1,1
C_9,2,2.1962978744154382,0,1
C_9,3,3.0189273497386235,0,1
C_9,4,3.867404540794456,1,1
C_10,0,5.137125949612055,1,0
C_10,1,3.1611515315323935,1,0
C_10,2,8.09986881003508,0,0
C_10,3,6.62703443473934,1,0
C_10,4,2.5382713671320896,1,0
C_11,0,6.56364574355462,0,1
C_11,1,6.0438831312337955,1,1
C_11,2,5.5939693464663724,1,1
C_11,3,5.586144946597362,0,1
C_11,4,3.571297163947264,1,1
C_12,0,6.313107217267659,1,0
C_12,1,7.317191158014808,1,1
C_12,2,3.358635363296579,1,0
C_12,3,4.509223767994259,0,0
C_12,4,3.492527671285021,1,0
C_13,0,6.654366498072047,1,1
C_13,1,4.470686333524088,0,1
C_13,2,10.440338333179238,0,1
C_13,3,2.8582150038777754,1,0
C_13,4,5.96494483048637,1,1
C_14,0,4.854342174686255,1,1
C_14,1,3.30641256386319,1,1
C_14,2,1.9703055506282707,0,1
C_14,3,5.346361851702364,1,1
C_14,4,5.770634759457674,1,0
C_15,0,2.714059404338754,1,1
C_15,1,7.166102486350554,0,1
C_15,2,7.1076041040698055,1,1
C_15,3,6.030095372612095,1,1
C_15,4,12.705462981309442,1,1
C_16,0,6.517938440986534,0,1
C_16,1,4.029272904341793,0,0
C_16,2,5.163748278772645,0,1
C_16,3,4.056136268421133,0,0
C_16,4,7.177901193934733,1,1
C_17,0,5.43291717916395,0,0
C_17,1,9.28788817865065,1,0
C_17,2,6.267838044636022,1,1
C_17,3,3.676427070463224,0,0
C_17,4,6.704866669592448,0,0
C_18,0,6.731510388340243,0,1
C_18,1,4.050109377678088,1,1
C_18,2,3.693341534852576,1,1
C_18,3,9.244312394025266,0,1
C_18,4,7.064930521102294,0,1
C_19,0,6.5492681068586736,0,1
C_19,1,-1.4825346801381452,0,0
C_19,2,2.9512247173314203,0,1
C_19,3,4.119911026606032,0,1
C_19,4,5.2614811545721825,1,1
C_20,0,5.924206948526542,0,0
